Wrong,Right
"We like chatting on the phone so much that most of  us'  parents have limited the talking time down to five minutes, threatening to cut off the wires otherwise.","We like chatting on the phone so much that most of  our  parents have limited the talking time down to five minutes, threatening to cut off the wires otherwise."
"This month has been full of exams and there are still  ones  coming up next week, so I must be a swot as you see.","This month has been full of exams and there are still  some  coming up next week, so I must be a swot as you see."
"First of all, I  got  disappointed when I found that there were no artists from Indonesia.","First of all, I  was  disappointed when I found that there were no artists from Indonesia."
"The performances were great, but some halls were too small to  accomodate   so many  people who  there were  that day.","The performances were great, but some halls were too small to  accommodate   all the  people who  were there  that day."
A crowded hall is not good when it comes to  enjoy   musics .,A crowded hall is not good when it comes to  enjoying   music .
So all you need to improve things  is  to have larger concert halls.,So all you need to improve things  are  to have larger concert halls.
I also suggest that you should make it easier to find out where and what is  being held  using more  notice boards .,I also suggest that you should make it easier to find out where and what is  going on  using more  noticeboards .
I have no doubt that you will succeed  in  next year's festival.,I have no doubt that you will succeed  with  next year's festival.
"I would like to recommend the job ,   a home teacher .",I would like to recommend the job  of   tutor .
It is a job  that  you become a teacher and visit your student at his or her house.,It is a job  where  you become a teacher and visit your student at his or her house.
The best advantage of this job is the  payment .,The best advantage of this job is the  pay .
It is very good considering how  less  time we spend on it.,It is very good considering how  little  time we spend on it.
"Students who want home  teachers  are usually primary school, junior high school, or senior high school students, and  it  means they take lessons after school, not in  a  daytime.","Students who want home  tutors  are usually primary school, junior high school, or senior high school students, and  that  means they take lessons after school, not in  the  daytime."
"So, in  a  daytime, we can focus  in  our  studyings .","So, in  the  daytime, we can focus  on  our  studies ."
"You have to be much smarter than your student, and you also need to prepare for lessons,  for  it is your responsibility to provide your student with the right information.","You have to be much smarter than your student, and you also need to prepare for lessons,  because  it is your responsibility to provide your student with the right information."
"As you see, teaching is  a hard work in some respect .","As you see, teaching is  respects ."
"I am writing to you because I have some  suggestion   about  next  year  festival, and if it is possible I  can would like  give  you some opinions about this  year  festival.","I am writing to you because I have some  suggestions   for  next  year's  festival, and if it is possible I  like would like  to give  you some opinions about this  year's  festival."
"Firstly, in your advertisement it states: stars and  artist  from around the world,  and  this year they were  one only from six countries. It would be great if there was  more  artist  and not  only  six.","Firstly, in your advertisement it states: stars and  artists  from around the world,  but  this year they were  were  more  artists  and not  just  six."
"Secondly, the concerts  are  fantastic, especially the rock concerts.","Secondly, the concerts  were  fantastic, especially the rock concerts."
"I  very   enjoy   on it enjoyed them a lot, but some of the halls are too small.","I  a lot   enjoyed   them enjoyed them a lot, but some of the halls are too small."
For me it is too  little .,For me it is too  few .
"One of the reasons that I have visited your  art  festival was to  saw  a lot of plays. In the future, I  supposed hope to be an actress and that's  way  I want to learn something from the  professionalists .","One of the reasons that I have visited your  arts  festival was to  see  a lot of plays. In the future, I  suppose hope to be an actress and that's  why  I want to learn something from the  professionals ."
I  hoe  that next year I will.,I  hope  that next year I will.
The last thing is that I was very surprised when I read that you have a  weekend-price .,The last thing is that I was very surprised when I read that you have a  weekend priceticket .
Now they can visit it  by  the whole family at the weekend and see all events  in  a  reasonaby-price reasonable price.,Now they can visit it  with  the whole family at the weekend and see all events  for  a  reasonable-price reasonable price.
I  believe  that you consider my opinions.,I  hope  that you consider my opinions.
"If you can't consider all of  then , I would like only one: more and once more plays!","If you can't consider all of  them , I would like only one: more and once more plays!"
Yours faithfully,Yours sincerely
"Thank you for your letter, and I'm sorry I  didn't write .","Thank you for your letter, and I'm sorry I  haven't written ."
"I  have  examinations, but now I have plenty of time and I can write a letter to you.","I  have had  examinations, but now I have plenty of time and I can write a letter to you."
In your letter you ask me about the rules  in  school and home I haveI have at school and home.,In your letter you ask me about the rules  at  school and home I haveI have at school and home.
"I think that they are the same as yours, but I'm not  sure at 100 per cent  so I  vrite am writing this letter:","I think that they are the same as yours, but I'm not  100 per cent sure  so I  write am writing this letter:"
"The  Rules  at school are: we must be on time  at  lessons, and we  always have must always  make  our homework.","The  rules  at school are: we must be on time  for  lessons, and we  must must always  do  our homework."
"If someone is ill, they must bring a  paper  from a doctor.","If someone is ill, they must bring a  note  from a doctor."
And the main rule is that everyone must be nice to the teachers. At home I must clean my room and  vacuuming  the home.,And the main rule is that everyone must be nice to the teachers. At home I must clean my room and  vacuum  the home.
"I like  clean  my home, and I like it when  there  is clean and fresh.","I like  cleaning  my home, and I like it when  it  is clean and fresh."
However I'm the only child and I don't have  do  too much but I want to and I like it.,However I'm the only child and I don't have  to do  too much but I want to and I like it.
"There is one thing I  like  to change, and that is the treatment students receive  by  teachers.","There is one thing I  would like  to change, and that is the treatment students receive  from  teachers."
They want too much  for  student  and are  unkindly   for  them.,They want too much  from  students  and are  unkind   to  them.
"That's all ,  I hope that I  give  you answers for all the questions you  have .",That's all .  I hope that I  have given  you answers for all the questions you  had .
This festival was  well-orginised well organised.,This festival was  well-organised well organised.
I  relly  liked the exhibitions.,I  really  liked the exhibitions.
"The  Band  ""Three Kings""  apresented  a new  stily  of music.","The  band  ""Three Kings""  presented  a new  style  of music."
I would like to notice that  a  dance show was  absolutelly   marvelous .,I would like to notice that  the  dance show was  absolutely   marvellous .
What's  a  greit  idea to invite writers there!,What  a  great  idea to invite writers there!
I  relly  liked  to speak talking with them.,I  really  liked  talk talking with them.
From my point of view I can complain only  on   a  small concert hall and the fact there were  artist  from only six countries.,From my point of view I can complain only  about   the  small concert hall and the fact there were  artists  from only six countries.
That's why many people  had to miss  this classical concert.,That's why many people  missed  this classical concert.
"You wrote an  advertisment  saying that people from more than 15  deferent  countries were going to visit this concert, but there were artists  only from  6 countries.","You wrote an  advertisement  saying that people from more than 15  different  countries were going to visit this concert, but there were artists  from only  6 countries."
It was  relly  a pity because I expected to see artists from France and Italy.,It was  really  a pity because I expected to see artists from France and Italy.
I would only  recomended recommend you  to have  more artists and  a  classical concert should be in a bigger hall than it was.,I would only  recommended recommend you  have  more artists and  the  classical concert should be in a bigger hall than it was.
There  names were Ivan and Maria.,Their  names were Ivan and Maria.
They were so  pour  that  somitimes  they hardly had  something  to eat.,They were so  poor  that  sometimes  they hardly had  anything  to eat.
"It wasn't a  usual  fish, it.","It wasn't a  normal  fish, it."
"It was a Gold Fish and it  asked  him  as  a human ;  ' Please, let me go and I can do  for you anything you want '.","It was a Gold Fish and it  talked to  him  like  a human :  ' Please, let me go and I can do  anything you want for you '."
But Ivan was  so  kind person that he let Gold Fish  went  without making any  condition .,But Ivan was  such a  kind person that he let Gold Fish  go  without making any  conditions .
He told  her  wife about this story.,He told  his  wife about this story.
She  persuide persuadespersuaded him to go to the sea to ask for a lot of things for her.,She  persuade persuadespersuaded him to go to the sea to ask for a lot of things for her.
Gold Fish did everything  what  Ivan asked.,Gold Fish did everything  that  Ivan asked.
"When he  come came back home, he was  surprise  because Maria was more angry than before.","When he  comes came back home, he was  surprised  because Maria was more angry than before."
She said that  it wasn't enough what Gold Fish had done for her .,She said that  what Gold Fish had done for her wasn't enough .
"In the end, greedy Maria wanted impossible  thing .","In the end, greedy Maria wanted impossible  things ."
She said that Ivan should bring Gold Fish  to home and Ivan could leave this  house because she didn't need him anymore.,She said that Ivan should bring Gold Fish  their  house because she didn't need him anymore.
Maria and Ivan were  again poor .,Maria and Ivan were  poor again .
I'm  a   italian  student who  has come went to the last International Arts Festival.,I'm  an   Italian  student who  came went to the last International Arts Festival.
"I think this festival is a great idea because it's  a   possibility  to see and to  love   the art, but, I think also  there are some things  thas  could be changed.",I think this festival is a great idea because it's  an   opportunity  to see and to  appreciate   also think  there are some things  that  could be changed.
I noticed that the artists were from only six countries  insted  that from around the world.,I noticed that the artists were from only six countries  instead  that from around the world.
This choice doesn't give many artists the  possibility  to  expresse   themself .,This choice doesn't give many artists the  opportunity  to  express   themselves .
There were many events  that  I think there were a few plays and films.,There were many events  and  I think there were a few plays and films.
Maybe it would be better  put  more of them in the programme because  they like so much to young people .,Maybe it would be better  to put  more of them in the programme because  young people like them so much .
"The very about young people, the  choice  to offer a  reasonably-priced  weekend ticket is  a  excellent idea because it brings them to have a contact with all what it art.","The very about young people, the  decision  to offer a  reasonably priced  weekend ticket is  an  excellent idea because it brings them to have a contact with all what it art."
I hope that my opinion can help you to  set   fro   the next year a great internation  arts festival alone to young people.,I hope that my opinion can help you to  organize   for   international  arts festival alone to young people.
I think a good way to get money  it's   work  in a fast-food restaurant.,I think a good way to get money  is   to work  in a fast-food restaurant.
"Maybe the first impression isn't positive but, from my personal experience, I can say that this kind of job is  right  for  get  some money.","Maybe the first impression isn't positive but, from my personal experience, I can say that this kind of job is  fine  for  getting  some money."
This kind of job is perfect for  the young people who want get  money and  in the meantime  they have to study.,This kind of job is perfect for  to get  money and  at the same time  they have to study.
In  the staff you can also find young people and  getting have fun with them during the work.,Among  the staff you can also find young people and  having have fun with them during the work.
What  do you want more ?,What  more do you want ?
Not only were there Jazz and Rock but there were  clasics  as well.,Not only were there Jazz and Rock but there were  classical concerts  as well.
There were wonderful plays and films which I hope  that there would have been  more of.,There were wonderful plays and films which I hope  will be  more of.
"All the other shows such as dance shows, art  exhibition  and talks by writers were very  amusing .","All the other shows such as dance shows, art  exhibitions  and talks by writers were very  entertaining ."
I was happy at the end as the weekend tickets were  reasonably-priced  for all events.,I was happy at the end as the weekend tickets were  reasonably priced  for all events.
I thought it was worthwhile to have spent two days  in  the Arts Festival  at  the end.,I thought it was worthwhile to have spent two days  at  the Arts Festival  in  the end.
He came and said to the widower that he was to  bring  him on his back.,He came and said to the widower that he was to  take  him on his back.
"The widow, who was afaid, told the man  of  the gold.","The widow, who was afaid, told the man  about  the gold."
He was just able to kill it by cutting the snake  into  half by using his knife which was as sharp as a sickle.,He was just able to kill it by cutting the snake  in  half by using his knife which was as sharp as a sickle.
You could probably show a  little bit  more films and interviews with the most interesting artists.,You could probably show a  few  more films and interviews with the most interesting artists.
Howe  are things going over there?,How  are things going over there?
"It's quite difficult to talk  bout  our school rules actually, but I'll try to help you somehow.","It's quite difficult to talk  about  our school rules actually, but I'll try to help you somehow."
"Bu  the way, are you allowed to smoke in the school?","By  the way, are you allowed to smoke in the school?"
"Our  teaches  don't let us smoke, of course, but you can always see some students smoking outside, so it's not that strict to be honest.","Our  teachers  don't let us smoke, of course, but you can always see some students smoking outside, so it's not that strict to be honest."
We're not allowed to drink alcohol as well and quarrel with any of the  teaches .,We're not allowed to drink alcohol as well and quarrel with any of the  teachers .
"As for our rules at home, it's always different and  depends just  on your family.","As for our rules at home, it's always different and  just depends  on your family."
"They understand that I can make my own decisions, but I know they will never leave me and they will help me and my brother  nay  time we need it.","They understand that I can make my own decisions, but I know they will never leave me and they will help me and my brother  any  time we need it."
I think the only rule in my house is to care  bout  each other.,I think the only rule in my house is to care  about  each other.
Ideas to  improve  the Festival,Ideas to  Improve  the Festival
"That is why  I write  to you, to give you some suggestions that you can take into consideration or not.","That is why  I'm writing  to you, to give you some suggestions that you can take into consideration or not."
"Firstly, it is a good idea that the Festival is  International .","Firstly, it is a good idea that the Festival is  international ."
But in the advertisement it was  written  that the artists were from all over the world  and  I saw only six nationalities.,But in the advertisement it was  said  that the artists were from all over the world  but  I saw only six nationalities.
"Secondly, the classical concerts were excellent  and  the halls were so crowded that nobody could walk.","Secondly, the classical concerts were excellent  but  the halls were so crowded that nobody could walk."
It  attracted a lot of people and they were really joyous after that.,They  attracted a lot of people and they were really joyous after that.
"Finally, the  reasonably  price of the tickets for the weekend was a good point, because all  kind  of people  an  afford to buy  it .","Finally, the  reasonable  price of the tickets for the weekend was a good point, because all  kinds  of people  can  afford to buy  them ."
I also think that you should  put  a  Snack-Bar  or a little restaurant so  as  the people are not too  hangry  and  morever  you can  realise big benefits .,I also think that you should  have  a  snack bar  or a little restaurant so  that  the people are not too  hungry  and  moreover  you can  make a lot of profit .
"In conclusion,  in  the whole the Festival was a success, but these suggestions can maybe help you to improve it.","In conclusion,  on  the whole the Festival was a success, but these suggestions can maybe help you to improve it."
I  receive  your letter and thank you for it.,I  have received  your letter and thank you for it.
I am very happy to  hearing  from you and I hope that you are  fit .,I am very happy to  hear  from you and I hope that you are  well .
"As expected, I want to talk  at first  about my school and then about my home.","As expected, I want to talk  first  about my school and then about my home."
"So the rules are clear, you need to participate  to  the lessons and also  be successful at  the exam  of  June 2000.","So the rules are clear, you need to participate  in  the lessons and also  pass  the exam  in  June 2000."
"In our class, we don't have a problem with students who dislike  to work , because we are all there for the same reasons and nobody wants to  say  there for years and years.","In our class, we don't have a problem with students who dislike  working , because we are all there for the same reasons and nobody wants to  stay  there for years and years."
"But when we are  in society , we have to be careful not to disturb the other  persons .","But when we are  out , we have to be careful not to disturb the other  people ."
"For example, my parents dislike hearing music  in  the whole house or that I let dust everywhere.","For example, my parents dislike hearing music  throughout  the whole house or that I let dust everywhere."
"When I go out, they don't give me  an hour  to be  at home, because I don't exagerate I'm sensible.","When I go out, they don't give me  a time  to be  exaggerate I'm sensible."
"In conclusion, I don't want to change  something  in my house or at school, because I  totaly  agree with the few rules that I have.","In conclusion, I don't want to change  anything  in my house or at school, because I  totally  agree with the few rules that I have."
I am writing to you about the International Arts Festival which took place  these  21 and 22 November.,I am writing to you about the International Arts Festival which took place  on the  21 and 22 November.
"In spite of the fact that the classical concerts were really good, I think that some concert halls were too small and so not everybody could appreciate the  good  quality of the music.","In spite of the fact that the classical concerts were really good, I think that some concert halls were too small and so not everybody could appreciate the  excellent  quality of the music."
"I really enjoyed the plays and films ,  I wonder if there  would  be more next year?",I really enjoyed the plays and films .  I wonder if there  will  be more next year?
"Finally, I would like to tell you that the idea of one  reasonably-priced  ticket for the weekend is excellent, we.","Finally, I would like to tell you that the idea of one  reasonably priced  ticket for the weekend is excellent, we."
"We can go where we want to, see what we feel like  to .","We can go where we want to, see what we feel like  seeing ."
"However, I think  a  weekend is really too short.","However, I think  the  weekend is really too short."
May I suggest you  to think  about doing the festival over  one  week.,May I suggest you  think  about doing the festival over  a  week.
"First of all, and I think it's  a big difference with  England, children don't wear uniforms at school.","First of all, and I think it's  very different in  England, children don't wear uniforms at school."
"Of course when you're in class you have to behave yourself ,  be polite with the teacher and the other  school children .",Of course when you're in class you have to behave yourself  and  be polite with the teacher and the other  schoolchildren .
"I think nowadays, children are more free and heard ,  I mean as regards the contact between them and adults.","I think nowadays, children are more free and heard .  I mean as regards the contact between them and adults."
"As I am concerned , when I was a child, I was not allowed to stay up very late with my parents and sometimes I wanted to because I was not tired.","As far as I am concerned , when I was a child, I was not allowed to stay up very late with my parents and sometimes I wanted to because I was not tired."
"But I was a  wise  child, so.","But I was a  clever  child, so."
"There are some rules, like ""don't speak with a full mouth""; ""don't put your finger in your  noise ""; ""say please and thank you""; ""don't fight with your brother""; and so on, but I think it's the same everywhere.","There are some rules, like ""don't speak with a full mouth""; ""don't put your finger in your  nose ""; ""say please and thank you""; ""don't fight with your brother""; and so on, but I think it's the same everywhere."
I write you this letter because I want to tell you about my experiences  of  the festival.,I write you this letter because I want to tell you about my experiences  at  the festival.
"I  have spent  two days at the ""International Arts Festival"" and I have to say that it was a good event but I think some details could be better the next time.","I  spent  two days at the ""International Arts Festival"" and I have to say that it was a good event but I think some details could be better the next time."
"For example, on the leaflet it was written that there  will  be stars and artists from around the world but they were only from six different countries.","For example, on the leaflet it was written that there  would  be stars and artists from around the world but they were only from six different countries."
Some concert halls were really small so that there was bad air and not enough  place  for everyone and you could not enjoy anything!,Some concert halls were really small so that there was bad air and not enough  room  for everyone and you could not enjoy anything!
"There  have also taken place  very good  attractions  like the dance shows, the art exhibition and  listening to the talks given by writers,","There  were also  very good  events  like the dance shows, the art exhibition and  ."
This was a clever way to attract  people's attention .,This was a clever way to attract  people .
"At last , I would like  suggest  a ""pony-ride"" for children, to attract families.","Last , I would like  to suggest  a ""pony-ride"" for children, to attract families."
Please tell  my  your opinion about this.,Please tell  me  your opinion about this.
I think there are some  possibilities  for earning money.,I think there are some  opportunities  for earning money.
"I would say the simplest way is to give lessons to pupils, for example, in maths or  english .","I would say the simplest way is to give lessons to pupils, for example, in maths or  English ."
"To teach  pupils is not easy, of course.","Teaching  pupils is not easy, of course."
But I think that after  some  lessons the pupils will see that it is better if they sit down and learn their stuff.,But I think that after  a few  lessons the pupils will see that it is better if they sit down and learn their stuff.
So it  would  be easier for the teacher then!,So it  will  be easier for the teacher then!
"It is also  not  a dirty work,  I mean you do not have to clean rooms or  toilets of other people !",Also it is  not  .  I mean you do not have to clean rooms or  other people's toilets !
"And you do not need to carry heavy things or have stress with customers, as you would if you  are  working in a shop.","And you do not need to carry heavy things or have stress with customers, as you would if you  were  working in a shop."
To be a good teacher you especially need  patient  and good nerves!,To be a good teacher you especially need  patience  and good nerves!
"So, if you like to  b  with people and help them and if you have the talent to explain things  good  then it would be  the best, if you offer  your help to the people!","So, if you like to  be  with people and help them and if you have the talent to explain things  well  then it would be  offered  your help to the people!"
You had better invite more  nationarities' nationalities people.,You had better invite more  nationalities' nationalities people.
"And some concert halls were too small, so you had better have larger concert halls and also you had better have more plays and films  in the next year than this year's .","And some concert halls were too small, so you had better have larger concert halls and also you had better have more plays and films  year ."
I think the idea of one  reasonably - priced  weekend ticket for all events is excellent!,I think the idea of one  reasonably-priced  weekend ticket for all events is excellent!
"Because, because it  does  not complex, also we don't confuse.","Because, because it  is  not complex, also we don't confuse."
"If you can improve these points, your festival  must  be better than this year's.","If you can improve these points, your festival  will  be better than this year's."
Yours  faithfully,Yours  sincerely
We are allowed to do  many  things.,We are allowed to do  a lot of  things.
And it doesn't matter if we enter the classroom  in  any time we want.,And it doesn't matter if we enter the classroom  at  any time we want.
Of course we can go out of the classroom  in  any time.,Of course we can go out of the classroom  at  any time.
But some schools in my country don't allow  many  things.,But some schools in my country don't allow  a lot of  things.
One of the rules  of  my friend's school is  not  to drink  and  eat  something  during a class.,One of the rules  at  my friend's school is  you are not allowed  to drink  or  eat  anything  during a class.
"And the students have to wear  the uniforms, so they can't chose  their clothes.",And the students have to wear  choose  their clothes.
It is that I have to come back to my house  until  11 o'clock at night.,It is that I have to come back to my house  by  11 o'clock at night.
Dear  Mr  Jane Clark,Dear  Mrs  Jane Clark
"I am  writeing  to you to ""help"" you with your festival next year, last.","I am  writing  to you to ""help"" you with your festival next year, last."
Last year wasn't very good so maybe we can make it more  atracite  this year ?,Last year wasn't very good so maybe we can make it more  attractive  this year .
"the first First , I think we  shoul  rent  biger   hall   for that so  we  could  make a better sound and give more space for the  viewers !","first First , I think we  should  rent  bigger   halls   so that  we  can  make a better sound and give more space for the  audience !"
If we will  make  one reasonably-priced weekend ticket for all events we can make  intrestede  more peoplemore people interested.,If we will  offer  one reasonably-priced weekend ticket for all events we can make  interested  more peoplemore people interested.
"We can  inaute  stars and artists from around the world who will  make  and  prisents present all  kind  of music like jazz, rock, classical  ect .","We can  invite  stars and artists from around the world who will  play  and  presents present all  kinds  of music like jazz, rock, classical  etc ."
It should be done  show so people can see how people in every corner of the word   make   theyr  own fun.,It should be done  world   have   their  own fun.
"Art exhibitions  is  a good idea too, to  introdus explain how the music is  making  and show how the instruments  lode .","Art exhibitions  are  a good idea too, to  introduce explain how the music is  made  and show how the instruments  work ."
Afterward  we could let people talk with the artists so they  can  get  knoe to know  theyr them  privacy personally.,Afterwards  we could let people talk with the artists so they  could  get  know to know  their them  privately personally.
Mr .,Mrs .
Jane  if  you want  get to hear more of my suggestions and opinions about it  pleace  contact  with me on my calle  phonecellphone.,Jane  If  you want  hear to hear more of my suggestions and opinions about it  please  contact  cell  phonecellphone.
Yours  Sincirley,Yours  sincerely
Dear Simona !,"Dear Simona ,"
Thank you for your letter.  it  was so nice to hear from you  gain  and I am glad you have  meant  this subject.,Thank you for your letter.  It  was so nice to hear from you  again  and I am glad you have  mentioned  this subject.
It's believed that English schools look different and have different rules  then  Polish schools but  may be  we might find  sth   incomon in common ?!,It's believed that English schools look different and have different rules  to  Polish schools but  maybe  we might find  something   in comon in common .
"The first  of all, it  dipends  what kind of school it is ?  Primary,  highschool  or university !  I think that now Polish schools are  going foward making progress but they still have lots of bad habits.","First  of all, it  depends  what kind of school it is :  Primary,  high school  or university .  I think that now Polish schools are  forward making progress but they still have lots of bad habits."
"Polish students have to study a lot with books and they have  less   pracite  lessons, and sometimes it's hard to get  a books or other neaded  thingsthings needed for  to study .","Polish students have to study a lot with books and they have  fewer   practical  lessons, and sometimes it's hard to get  needed  thingsthings needed for  studying ."
The  Conneat connectconnectionrelations hip between students and their teachers or principals is very poor!,The  conneat connectconnectionrelations hip between students and their teachers or principals is very poor!
"During  the lesson  we are not allowed to have food or stg drink, and we can't be late to school.","During  lessons  we are not allowed to have food or stg drink, and we can't be late to school."
School is  supose supposed to be our second home but it's not.  we  work hard and  for  the end of our education we still have nothing.,School is  suppose supposed to be our second home but it's not.  We  work hard and  at  the end of our education we still have nothing.
You  asking  me what would I change?,You  ask  me what would I change?
"I would make schools  more   unstressfull , with added fun  cause   it's easeyer  that waythat way it's easier to learn and I would  gives  students more chances to share  yo with their fantazy fantasies at school.","I would make schools  less   stressful , with added fun  'cause   easier  that waythat way it's easier to learn and I would  give  students more chances to share  fantasy fantasies at school."
"Maybe the Polish system is not bad, but it's  conftyble  too.","Maybe the Polish system is not bad, but it's  comfortable  too."
I know that  that  letter will not change anything but you can see how  compliated   is a Polish studen's  lifea Polish student's life is.,I know that  this  letter will not change anything but you can see how  complicated   student's  lifea Polish student's life is.
Your,Yours
"Especially , I enjoyed the jazz concerts and could see some famous jazz musicians I adore.","In particular , I enjoyed the jazz concerts and could see some famous jazz musicians I adore."
Some concert halls were not big enough to  have  the audience.,Some concert halls were not big enough to  hold  the audience.
"For next year, I think you should take this matter into consideration ,  And I think it would be much better if you had more plays and films.","For next year, I think you should take this matter into consideration .  And I think it would be much better if you had more plays and films."
"To make it more enjoyable, I would be grateful if you could welcome my comments  on  it.","To make it more enjoyable, I would be grateful if you could welcome my comments  about  it."
"A Japanese folk story: "" a  bamboo princessThe Bamboo Princess""","A Japanese folk story: "" the  bamboo princessThe Bamboo Princess"""
The princess grew up to be  beautifully .,The princess grew up to be  beautiful .
"But she said to them, "" if  you want me, you have to do this . "" and asked them to do impossible things because she didn't want to get married.","But she said to them, "" If  you want me, you have to do this , "" and asked them to do impossible things because she didn't want to get married."
I  see  your advertisement about the  Internal  Arts Festival now.,I  saw  your advertisement about the  International  Arts Festival now.
I think that's a great idea . As  we need some good activities.,I think that's a great idea as  we need some good activities.
The  Advertisement   is written states that you invite stars and  artist  from around the world.,The  advertisement   writes states that you invite stars and  artists  from around the world.
This is  very incredible but from only six countries you wrote  artists from only six countries.,This is  you wrote down  artists from only six countries.
"If you  invite from more countries to stars and artist invite stars and artists from more countries, your festival will be  unbelieved .","If you  artists invite stars and artists from more countries, your festival will be  unbelievable ."
"The  Second  point is there are some jazz, rock and classical concerts.","The  second  point is there are some jazz, rock and classical concerts."
"Because of  these , people are bored quickly.","Because of  this , people are bored quickly."
I  congradulate  you because  it's  perfect.,I  congratulate  you because  that's  perfect.
"As   more  people like dance shows,  me too .","as   most  people like dance shows,  including me ."
"That's  the real knowledge for us, art exhibition  and talks by writers.",That's  exhibitions  and talks by writers.
I think we  know  a  writer  life or how  is he  writing about it?,I think we  will know  a  writer's  life or how  he is  writing about it?
"Lastly, you said 'one  reasonable-priced  weekend ticket for all events'.","Lastly, you said 'one  reasonably priced  weekend ticket for all events'."
I miss you very much and sorry  about I didn't write  you  some  letters.,I miss you very much and sorry  haven't written  you  any  letters.
"What are you  dong   today , how?","What are you  doing   nowadays , how?"
"However ;  today I am getting used to my school, I have  got  two sweet girls.","However ,  today I am getting used to my school, I have  met  two sweet girls."
"But this school has got a lot of rules and in our class , we have been talking about Rules , both at home and at school.","But this school has got a lot of rules and in our class rules , both at home and at school."
For instance ;  you must not argue with your friend or you must not argue with workers.,For instance :  you must not argue with your friend or you must not argue with workers.
I feel very bad because what you are allowed I  aren't  allowed to do at home.,I feel very bad because what you are allowed I  am not  allowed to do at home.
Are  you understand me?,Do  you understand me?
Please  you will  write me a letter quickly.,Please  will you  write me a letter quickly.
Lovers !,Love !
I  had spent  at this festival for two daysspent two days at this festival.,I  spent  at this festival for two daysspent two days at this festival.
Most of the events which I  had seen  were good.,Most of the events which I  saw  were good.
It was an excellent idea to  make  one  reasonaly-priced reasonably priced weekend ticket for all events.,It was an excellent idea to  have  one  reasonably-priced reasonably priced weekend ticket for all events.
A lot of people could visit as many events as  the they could .,A lot of people could visit as many events as  wanted .
I was very surprised when I  knew  that the stars and artists were  only from  six countries.,I was very surprised when I  learned  that the stars and artists were  from only  six countries.
It was too  little  for this festival.,It was too  few  for this festival.
It was a  pitty  that  too small halls were used for the classical concerts .,It was a  pity  that  the halls used for the classical concerts were too small .
I like going to classical concerts but at this festival the  sounds  of the music  were  terrible.,I like going to classical concerts but at this festival the  sound  of the music  was  terrible.
I have some  suggestion  for next year's festival.,I have some  suggestions  for next year's festival.
I would like to help you in your interesting  job .,I would like to help you in your interesting  work .
"There are a lot of folk stories  in  the world and there are a lot of folk stories in Estonia ,  I would like to tell you one of them.",There are a lot of folk stories  from around  the world and there are a lot of folk stories in Estonia .  I would like to tell you one of them.
One day the man  quarreled  with his sons and they left the house  trying  to find work.,One day the man  quarrelled  with his sons and they left the house  to try  to find work.
And they  had lived  far from their father for two years.,And they  lived  far from their father for two years.
They  grow  up and became wise.,They  grew  up and became wise.
They decided to return to  his  father because he was old and he needed help.,They decided to return to  their  father because he was old and he needed help.
"When the sons were old they began to  tell  about their life, beginning with this story, which  happend  a long time ago.","When the sons were old they began to  talk  about their life, beginning with this story, which  happened  a long time ago."
I'm writing to you to give my opinion of that great festival you  organiced  the last 21 and 22 of November.,I'm writing to you to give my opinion of that great festival you  organised  the last 21 and 22 of November.
I want you to know  how  an extraordinary  moments  I  passed  with my friends  in  the festival.,I want you to know  what  an extraordinary  time  I  had  with my friends  at  the festival.
Your work was brilliant because you brought stars and artists from around the world  with  only that  reasonable -pricedreasonably priced ticket we  paid  for  all the  weekend.,Your work was brilliant because you brought stars and artists from around the world  for  only that  reasonably -pricedreasonably priced ticket we  bought  for  the whole  weekend.
The festival was very well  organiced  with a lot of alternatives like concerts and dance shows.,The festival was very well  organised  with a lot of alternatives like concerts and dance shows.
"On my point of view  the hall  of  the rock  concets  was too small , you've .",In my opinion  the hall  for  the rock  concerts  was too small you have .
You have to consider  make booking a  big  one for  the next year because these kind  of events are  concurred  by a lot of young people.,You have to consider  making booking a  bigger  one for  kinds  of events are  attended  by a lot of young people.
"In conclusion, I wanted to say thanks for such  an  special weekend.","In conclusion, I wanted to say thanks for such  a  special weekend."
In my house rules practically don't exist because I  have  18 years old now so my  parents  only wish is that I study for a  carrear university degree and be a good man.,In my house rules practically don't exist because I  am  18 years old now so my  parents'  only wish is that I study for a  career university degree and be a good man.
At school it is  complete  different because the teachers don't  foregive  you  nothing .,At school it is  completely  different because the teachers don't  forgive  you  anything .
You have to be quiet  an   attention  in class if you  wouldn't  want to be punished.,You have to be quiet  and   attentive  in class if you  don't  want to be punished.
I wouldn't like to change anything because we all need some  dicipline  to  make  the right things.,I wouldn't like to change anything because we all need some  discipline  to  do  the right things.
"When  I'd  time I will write to you again,","When  I've  time I will write to you again,"
"But firstly, I want to congratulate you  for  organizing such a huge festival, people need this kind of  events .","But firstly, I want to congratulate you  on  organizing such a huge festival, people need this kind of  event ."
"As it  was written said so in your advertisement, artists should have come from around the world but only six countries were represented ,  I was quite disappointed.","As it  wrote said so in your advertisement, artists should have come from around the world but only six countries were represented .  I was quite disappointed."
"However the concerts were great, but unfortunately, some concert halls were too small and it was as hot as  a micro-wave an oven inside.","However the concerts were great, but unfortunately, some concert halls were too small and it was as hot as  microwave an oven inside."
